@180.171.147.187/32 83.167.110.154/32 0:65535 6849:6849 0x06/0xFF
@180.171.147.161/32 86.109.168.32/32 0:65535 1490:1490 0x06/0xFF
@180.171.147.254/32 85.199.42.4/32 0:65535 1521:1521 0x06/0xFF
@180.171.147.63/32 25.178.135.86/32 0:65535 5631:5631 0x06/0xFF
@180.171.147.89/32 25.184.48.239/32 0:65535 1521:1521 0x06/0xFF
@180.171.147.89/32 25.184.48.239/32 0:65535 1489:1489 0x06/0xFF
@180.171.147.89/32 25.184.48.239/32 0:65535 1734:1734 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 5542:5542 0x06/0xFF
@180.171.147.65/32 199.39.63.181/32 0:65535 5631:5631 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 135:135 0x06/0xFF
@180.171.147.65/32 199.39.63.181/32 0:65535 1734:1734 0x06/0xFF
@85.52.83.88/32 155.55.101.159/32 0:65535 1521:1521 0x06/0xFF
@85.52.83.88/32 25.184.48.129/32 0:65535 1525:1525 0x06/0xFF
@85.52.83.80/32 188.227.35.104/32 0:65535 135:135 0x06/0xFF
@85.52.83.80/32 177.112.32.20/32 0:65535 1724:1724 0x06/0xFF
@85.52.83.80/32 177.112.32.20/32 0:65535 14753:14753 0x06/0xFF
@85.52.83.80/32 177.119.185.99/32 0:65535 12050:12050 0x06/0xFF
@85.52.83.77/32 25.184.48.129/32 0:65535 1490:1490 0x06/0xFF
@85.52.83.77/32 180.175.6.30/32 0:65535 1521:1521 0x06/0xFF
@85.52.83.68/32 85.52.87.1/32 0:65535 1521:1521 0x06/0xFF
@85.52.83.69/32 199.45.140.2/32 0:65535 5555:5555 0x06/0xFF
@85.52.83.69/32 73.31.21.194/32 0:65535 1705:1705 0x06/0xFF
@85.52.83.69/32 199.45.140.2/32 0:65535 1521:1521 0x06/0xFF
@85.52.83.69/32 199.45.140.2/32 0:65535 21:21 0x06/0xFF
@85.52.83.115/32 199.45.140.2/32 0:65535 1521:1521 0x06/0xFF
@85.52.83.125/32 199.45.140.2/32 0:65535 1521:1521 0x06/0xFF
@85.52.83.125/32 199.45.140.2/32 0:65535 1525:1525 0x06/0xFF
@85.52.83.125/32 199.34.149.161/32 0:65535 5540:5540 0x06/0xFF
@85.52.83.125/32 199.34.149.161/32 0:65535 1521:1521 0x06/0xFF
@85.52.83.125/32 199.34.149.161/32 0:65535 20:20 0x06/0xFF
@85.52.83.96/32 199.34.149.161/32 0:65535 1521:1521 0x06/0xFF
@85.52.83.96/32 199.39.63.180/32 0:65535 5555:5555 0x06/0xFF
@85.52.83.97/32 25.184.48.129/32 0:65535 1526:1526 0x06/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 1704:1704 0x06/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 1521:1521 0x06/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 1526:1526 0x06/0xFF
@85.52.83.97/32 85.52.87.1/32 0:65535 1733:1733 0x06/0xFF
@180.171.147.138/32 90.137.71.248/32 0:65535 5540:5540 0x06/0xFF
@180.171.147.138/32 90.129.112.149/32 0:65535 1521:1521 0x06/0xFF
@180.171.147.138/32 90.129.153.215/32 0:65535 1521:1521 0x06/0xFF
@180.171.147.227/32 199.39.63.181/32 0:65535 4646:4646 0x06/0xFF
